x	y	z
     0.254     -1.276    -18.239
     0.273     -0.168    -19.427
     0.258      0.297    -14.406
     0.237      0.173     -9.508
     0.216      0.488     -3.360
     0.269     -0.162    -18.806
     0.225     -0.442     -8.911
     0.263     -0.132    -17.873
     0.246      0.732    -10.752
     0.248      0.500    -12.729
     0.248      0.307    -13.340
     0.220     -0.587     -9.129
     0.202     -0.435     -4.215
     0.238      0.571    -10.366
     0.231      0.522     -8.840
     0.231     -0.119    -11.289
     0.222     -0.043     -9.521
     0.225     -0.596    -12.191
     0.242     -0.360    -16.105
     0.207     -0.531     -7.300
     0.277     -2.095    -32.220
     0.228      0.676     -9.926
     0.145      0.002     10.370
     0.222     -0.074    -11.060
     0.224     -0.044    -11.884
     0.239      0.078    -15.563
     0.205     -0.838     -9.615
     0.226     -0.316    -14.337
     0.213     -0.063     -9.888
     0.206      0.337     -7.329
     0.198     -0.509     -8.424
     0.213     -1.389    -15.719
     0.182      0.166     -1.785
     0.309     -0.687    -41.766
     0.230     -0.386    -17.948
     0.222      0.367    -13.256
     0.207     -0.312    -11.363
     0.186     -0.212     -5.263
     0.210      0.148    -11.327
     0.221      0.036    -15.381
     0.215     -0.445    -15.151
     0.186      0.746     -2.682
     0.175     -1.113     -5.740
     0.226      0.097    -17.055
     0.183     -0.655     -6.745
     0.202      0.310     -9.598
     0.192      0.656     -5.576
     0.204      0.197    -10.653
     0.221      0.227    -15.932
     0.212     -0.441    -15.344
     0.218      0.460    -14.586
     0.225     -0.045    -18.279
     0.250     -0.144    -26.282
     0.207     -0.448    -14.320
     0.203     -0.939    -14.713
     0.216      0.007    -16.022
     0.215     -0.601    -17.967
     0.179     -0.214     -5.733
     0.161      0.751      2.870
     0.194     -0.572    -11.573
     0.205      0.604    -11.210
     0.222      0.137    -18.350
     0.236      0.377    -21.899
     0.237      1.059    -20.606
     0.213      1.026    -13.109
     0.231     -0.287    -24.433
     0.199     -0.674    -15.615
     0.189     -1.369    -15.229
     0.199     -0.297    -15.254
     0.203     -0.092    -15.826
     0.188      0.533     -9.038
     0.184      0.116     -9.443
     0.182     -0.770    -12.290
     0.203     -0.177    -17.508
     0.211     -0.289    -21.141
     0.176     -0.044     -8.669
     0.183     -0.691    -13.206
     0.191     -0.828    -16.596
     0.172     -0.234     -8.252
     0.208     -0.039    -19.964
     0.193     -0.555    -16.557
     0.157     -0.127     -3.020
     0.169     -0.581     -8.694
     0.200     -0.512    -18.890
     0.180      0.109    -10.332
     0.213      0.637    -19.885
